,Name,I[A],H[Oe]
0,HP6032A,-18.0,-2057.6
1,HP6032A,-17.0,-1965.8
2,HP6032A,-16.0,-1865.6
3,HP6032A,-15.0,-1764.9
4,HP6032A,-14.0,-1658.2
5,HP6032A,-13.0,-1551.7
6,HP6032A,-12.0,-1442.7
7,HP6032A,-11.0,-1336.2
8,HP6032A,-10.0,-1225.8
9,HP6032A,-9.0,-1111.8
10,HP6032A,-8.0,-996.0
11,HP6032A,-7.0,-878.7
12,HP6032A,-6.0,-760.5
13,HP6032A,-5.0,-640.7
14,HP6032A,-4.0,-520.3
15,HP6032A,-3.95,-515.9
16,HP6032A,-3.9000000000000004,-511.4
17,HP6032A,-3.8500000000000005,-506.9
18,HP6032A,-3.8000000000000007,-501.9
19,HP6032A,-3.750000000000001,-496.5
20,HP6032A,-3.700000000000001,-490.9
21,HP6032A,-3.6500000000000012,-485.3
22,HP6032A,-3.6000000000000014,-479.4
23,HP6032A,-3.5500000000000016,-473.4
24,HP6032A,-3.5000000000000018,-467.5
25,HP6032A,-3.450000000000002,-461.7
26,HP6032A,-3.400000000000002,-455.8
27,HP6032A,-3.3500000000000023,-449.9
28,HP6032A,-3.3000000000000025,-443.9
29,HP6032A,-3.2500000000000027,-438.0
30,HP6032A,-3.200000000000003,-431.9
31,HP6032A,-3.150000000000003,-425.7
32,HP6032A,-3.100000000000003,-419.8
33,HP6032A,-3.0500000000000034,-413.9
34,HP6032A,-3.0000000000000036,-408.0
35,HP6032A,-2.9500000000000037,-402.0
36,HP6032A,-2.900000000000004,-395.9
37,HP6032A,-2.850000000000004,-389.9
38,HP6032A,-2.8000000000000043,-383.8
39,HP6032A,-2.7500000000000044,-377.7
40,HP6032A,-2.7000000000000046,-371.6
41,HP6032A,-2.650000000000005,-365.7
42,HP6032A,-2.600000000000005,-359.9
43,HP6032A,-2.550000000000005,-353.8
44,HP6032A,-2.5000000000000053,-347.8
45,HP6032A,-2.4500000000000055,-341.7
46,HP6032A,-2.4000000000000057,-335.5
47,HP6032A,-2.350000000000006,-329.1
48,HP6032A,-2.300000000000006,-323.1
49,HP6032A,-2.250000000000006,-317.1
50,HP6032A,-2.2000000000000064,-311.2
51,HP6032A,-2.1500000000000066,-305.2
52,HP6032A,-2.1000000000000068,-299.4
53,HP6032A,-2.050000000000007,-293.4
54,HP6032A,-2.000000000000007,-287.3
55,HP6032A,-1.9500000000000073,-281.0
56,HP6032A,-1.9000000000000075,-274.9
57,HP6032A,-1.8500000000000076,-268.8
58,HP6032A,-1.8000000000000078,-262.7
59,HP6032A,-1.750000000000008,-256.6
60,HP6032A,-1.7000000000000082,-250.7
61,HP6032A,-1.6500000000000083,-244.9
62,HP6032A,-1.6000000000000085,-238.9
63,HP6032A,-1.5500000000000087,-232.7
64,HP6032A,-1.5000000000000089,-226.6
65,HP6032A,-1.450000000000009,-220.3
66,HP6032A,-1.4000000000000092,-214.1
67,HP6032A,-1.3500000000000094,-208.0
68,HP6032A,-1.3000000000000096,-202.0
69,HP6032A,-1.2500000000000098,-196.0
70,HP6032A,-1.20000000000001,-189.9
71,HP6032A,-1.1500000000000101,-183.8
72,HP6032A,-1.1000000000000103,-177.7
73,HP6032A,-1.0500000000000105,-171.7
74,HP6032A,-1.0000000000000107,-165.8
75,HP6032A,-0.9500000000000108,-159.9
76,HP6032A,-0.900000000000011,-154.0
77,HP6032A,-0.8500000000000112,-148.2
78,HP6032A,-0.8000000000000114,-142.1
79,HP6032A,-0.7500000000000115,-135.7
80,HP6032A,-0.7000000000000117,-129.6
81,HP6032A,-0.6500000000000119,-123.6
82,HP6032A,-0.6000000000000121,-117.4
83,HP6032A,-0.5500000000000123,-111.2
84,HP6032A,-0.5000000000000124,-105.1
85,HP6032A,-0.4500000000000126,-99.1
86,HP6032A,-0.4000000000000128,-93.0
87,HP6032A,-0.35000000000001297,-86.8
88,HP6032A,-0.30000000000001315,-80.8
89,HP6032A,-0.2500000000000133,-74.8
90,HP6032A,-0.2000000000000135,-68.7
91,HP6032A,-0.15000000000001368,-62.6
92,HP6032A,-0.10000000000001386,-56.5
93,HP6032A,-0.05000000000001403,-50.6
94,HP6032A,-1.4210854715202004e-14,-46.4
95,HP6032A,0.04999999999998561,-41.8
96,HP6032A,0.09999999999998543,-34.7
97,HP6032A,0.14999999999998526,-28.0
98,HP6032A,0.19999999999998508,-21.5
99,HP6032A,0.2499999999999849,-15.2
100,HP6032A,0.2999999999999847,-9.1
101,HP6032A,0.34999999999998455,-3.0
102,HP6032A,0.39999999999998437,3.1
103,HP6032A,0.4499999999999842,9.2
104,HP6032A,0.499999999999984,15.2
105,HP6032A,0.5499999999999838,21.2
106,HP6032A,0.5999999999999837,27.3
107,HP6032A,0.6499999999999835,33.3
108,HP6032A,0.6999999999999833,39.2
109,HP6032A,0.7499999999999831,45.2
110,HP6032A,0.799999999999983,51.4
111,HP6032A,0.8499999999999828,57.5
112,HP6032A,0.8999999999999826,63.4
113,HP6032A,0.9499999999999824,69.5
114,HP6032A,0.9999999999999822,75.7
115,HP6032A,1.049999999999982,81.9
116,HP6032A,1.0999999999999819,88.2
117,HP6032A,1.1499999999999817,94.2
118,HP6032A,1.1999999999999815,100.5
119,HP6032A,1.2499999999999813,106.5
120,HP6032A,1.2999999999999812,112.5
121,HP6032A,1.349999999999981,118.5
122,HP6032A,1.3999999999999808,124.7
123,HP6032A,1.4499999999999806,130.8
124,HP6032A,1.4999999999999805,136.8
125,HP6032A,1.5499999999999803,142.6
126,HP6032A,1.59999999999998,148.6
127,HP6032A,1.64999999999998,154.6
128,HP6032A,1.6999999999999797,160.5
129,HP6032A,1.7499999999999796,166.7
130,HP6032A,1.7999999999999794,173.0
131,HP6032A,1.8499999999999792,179.2
132,HP6032A,1.899999999999979,185.2
133,HP6032A,1.9499999999999789,191.3
134,HP6032A,1.9999999999999787,197.3
135,HP6032A,2.0499999999999785,203.3
136,HP6032A,2.0999999999999783,209.2
137,HP6032A,2.149999999999978,215.1
138,HP6032A,2.199999999999978,221.1
139,HP6032A,2.249999999999978,227.2
140,HP6032A,2.2999999999999776,233.3
141,HP6032A,2.3499999999999774,239.5
142,HP6032A,2.3999999999999773,245.9
143,HP6032A,2.449999999999977,252.0
144,HP6032A,2.499999999999977,257.9
145,HP6032A,2.5499999999999767,263.8
146,HP6032A,2.5999999999999766,269.7
147,HP6032A,2.6499999999999764,275.7
148,HP6032A,2.699999999999976,281.8
149,HP6032A,2.749999999999976,287.9
150,HP6032A,2.799999999999976,294.1
151,HP6032A,2.8499999999999757,300.2
152,HP6032A,2.8999999999999755,306.2
153,HP6032A,2.9499999999999753,312.2
154,HP6032A,2.999999999999975,318.2
155,HP6032A,3.049999999999975,324.1
156,HP6032A,3.0999999999999748,330.1
157,HP6032A,3.1499999999999746,336.1
158,HP6032A,3.1999999999999744,342.4
159,HP6032A,3.2499999999999742,348.5
160,HP6032A,3.299999999999974,354.5
161,HP6032A,3.349999999999974,360.5
162,HP6032A,3.3999999999999737,366.4
163,HP6032A,3.4499999999999735,372.3
164,HP6032A,3.4999999999999734,378.2
165,HP6032A,3.549999999999973,384.2
166,HP6032A,3.599999999999973,390.3
167,HP6032A,3.649999999999973,396.4
168,HP6032A,3.6999999999999726,402.4
169,HP6032A,3.7499999999999725,408.4
170,HP6032A,3.7999999999999723,414.4
171,HP6032A,3.849999999999972,420.4
172,HP6032A,3.899999999999972,426.4
173,HP6032A,3.9499999999999718,432.5
174,HP6032A,3.9999999999999716,438.8
175,HP6032A,5.0,567.9
176,HP6032A,6.0,688.8
177,HP6032A,7.0,809.4
178,HP6032A,8.0,930.3
179,HP6032A,9.0,1050.7
180,HP6032A,10.0,1167.9
181,HP6032A,11.0,1284.4
182,HP6032A,12.0,1395.7
183,HP6032A,13.0,1510.7
184,HP6032A,14.0,1625.6
185,HP6032A,15.0,1728.0
186,HP6032A,16.0,1836.8
187,HP6032A,17.0,1948.9
188,HP6032A,18.0,2058.0
